name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;497;0;520;3037;1019;3037;1042;0
header;188;167;188;200;1812;200;1812;167
A;903;116;903;117;905;117;905;116
A;983;232;983;259;1006;259;1006;232
A;1009;731;1009;732;1011;732;1011;731
B;984;897;984;925;1005;925;1005;897
A;758;1163;758;1165;760;1165;760;1163
A;1025;1489;1025;1490;1026;1490;1026;1489
C;775;1720;775;1776;813;1776;813;1720
C;986;1945;986;1976;1010;1976;1010;1945
D;989;2614;989;2640;1010;2640;1010;2614
A;658;2909;658;2909;660;2909;660;2909
